INFO:root:start log
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:gun moved
INFO:root:GUNSUCCESS: has agent
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:gun moved
INFO:root:GUNSUCCESS: has agent
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:tuln terminated normally
INFO:root:start log
WARNING:root:ROGUEERROR: no gun
INFO:root:rogue start
INFO:root:start gun
WARNING:root:GUNERROR:no agent
INFO:root:add gun to rogue
INFO:root:add agent to gun
INFO:root:gun moved
INFO:root:GUNSUCCESS: has agent
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
INFO:root:GUNSUCCESS: has agent
INFO:root:ROGUESUCCESS: has gun
